"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"Y65";"T";"NL13";"A";"1999";NA;"na";NA
"Y65";"T";"NL13";"A";"1998";NA;"na";NA
"Y65";"T";"NL13";"A";"1997";NA;"na";NA
"Y65";"T";"NL13";"A";"1996";NA;"na";NA
"Y65";"T";"NL13";"A";"1995";NA;"na";NA
"Y65";"T";"NL13";"A";"1994";NA;"na";NA
"Y65";"T";"NL13";"A";"1993";NA;"na";NA
"Y65";"T";"NL13";"A";"1992";NA;"na";NA
"Y65";"T";"NL13";"A";"1991";NA;"na";NA
"Y65";"T";"NL13";"A";"1990";NA;"na";NA
"Y65";"T";"NL34";"A";"2014";21,2;NA;NA
"Y65";"T";"NL34";"A";"2013";20,2;NA;NA
"Y65";"T";"NL34";"A";"2012";20,2;NA;NA
"Y65";"T";"NL34";"A";"2011";20,2;NA;NA
"Y65";"T";"NL34";"A";"2010";20;NA;NA
"Y65";"T";"NL34";"A";"2009";20,4;NA;NA
"Y65";"T";"NL34";"A";"2008";19,9;NA;NA
"Y65";"T";"NL34";"A";"2007";19,7;NA;NA
"Y65";"T";"NL34";"A";"2006";19,4;NA;NA
"Y65";"T";"NL34";"A";"2005";19;NA;NA
"Y65";"T";"NL34";"A";"2004";18,9;NA;NA
"Y65";"T";"NL34";"A";"2003";18,8;NA;NA
"Y65";"T";"NL34";"A";"2002";18,3;NA;NA
"Y65";"T";"NL34";"A";"2001";18,4;NA;NA
"Y65";"T";"NL34";"A";"2000";NA;"na";NA
"Y65";"T";"NL34";"A";"1999";NA;"na";NA
"Y65";"T";"NL34";"A";"1998";NA;"na";NA
"Y65";"T";"NL34";"A";"1997";NA;"na";NA
"Y65";"T";"NL34";"A";"1996";NA;"na";NA
"Y65";"T";"NL34";"A";"1995";NA;"na";NA
"Y65";"T";"NL34";"A";"1994";NA;"na";NA
"Y65";"T";"NL34";"A";"1993";NA;"na";NA
"Y65";"T";"NL34";"A";"1992";NA;"na";NA
"Y65";"T";"NL34";"A";"1991";NA;"na";NA
"Y65";"T";"NL34";"A";"1990";NA;"na";NA
"Y65";"T";"UKC1";"A";"2014";19,2;NA;"e"
"Y65";"T";"UKC1";"A";"2013";19,1;NA;NA
"Y65";"T";"UKC1";"A";"2012";18,8;NA;NA
"Y65";"T";"UKC1";"A";"2011";19;NA;NA
"Y65";"T";"UKC1";"A";"2010";18,9;NA;NA
"Y65";"T";"UKC1";"A";"2009";18,5;NA;NA
"Y65";"T";"UKC1";"A";"2008";18;NA;NA
"Y65";"T";"UKC1";"A";"2007";18;NA;NA
"Y65";"T";"UKC1";"A";"2006";17,8;NA;NA
"Y65";"T";"UKC1";"A";"2005";17,3;NA;NA
"Y65";"T";"UKC1";"A";"2004";17,4;NA;NA
"Y65";"T";"UKC1";"A";"2003";17;NA;NA
"Y65";"T";"UKC1";"A";"2002";16,9;NA;NA
"Y65";"T";"UKC1";"A";"2001";16,8;NA;NA
"Y65";"T";"UKC1";"A";"2000";16,8;NA;NA
"Y65";"T";"UKC1";"A";"1999";16,3;NA;NA
"Y65";"T";"UKC1";"A";"1998";NA;"na";NA
"Y65";"T";"UKC1";"A";"1997";NA;"na";NA
"Y65";"T";"UKC1";"A";"1996";NA;"na";NA
"Y65";"T";"UKC1";"A";"1995";NA;"na";NA
"Y65";"T";"UKC1";"A";"1994";15,6;NA;NA
"Y65";"T";"UKC1";"A";"1993";15,2;NA;NA
"Y65";"T";"UKC1";"A";"1992";NA;"na";NA
"Y65";"T";"UKC1";"A";"1991";NA;"na";NA
"Y65";"T";"UKC1";"A";"1990";NA;"na";NA
"Y65";"T";"UKE2";"A";"2014";20,8;NA;"e"
"Y65";"T";"UKE2";"A";"2013";20,4;NA;NA
"Y65";"T";"UKE2";"A";"2012";20,4;NA;NA
"Y65";"T";"UKE2";"A";"2011";20,4;NA;NA
"Y65";"T";"UKE2";"A";"2010";20,2;NA;NA
"Y65";"T";"UKE2";"A";"2009";20,3;NA;NA
