"WSTATUS";"TYPTRAI";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2005";10,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2004";10,8;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2003";7,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2002";7,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2001";7,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2000";8,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2015";13,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2014";15,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2013";15,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2012";14,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2011";13,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2010";12,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2009";10,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2008";8,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2007";8,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2006";9,1;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2005";9,3;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2004";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2003";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2002";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2001";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH";"A";"2000";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2015";8,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2014";9,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2013";9,2;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2012";9,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2011";7,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2010";8,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2009";8,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2008";8,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2007";7,2;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2006";7,9;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2005";6,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2004";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2003";3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2002";3,3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2001";4,2;"u";NA
