"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"V11210";"G";"NL12";"A";"2009";8162;NA;NA
"V11210";"G";"NL12";"A";"2008";7963;NA;NA
"V11210";"G";"NL13";"A";"2013";8965;NA;NA
"V11210";"G";"NL13";"A";"2012";7594;NA;NA
"V11210";"G";"NL13";"A";"2011";7318;NA;NA
"V11210";"G";"NL13";"A";"2010";7291;NA;NA
"V11210";"G";"NL13";"A";"2009";6175;NA;NA
"V11210";"G";"NL13";"A";"2008";6035;NA;NA
"V11210";"G";"NL34";"A";"2013";6451;NA;NA
"V11210";"G";"NL34";"A";"2012";5590;NA;NA
"V11210";"G";"NL34";"A";"2011";5468;NA;NA
"V11210";"G";"NL34";"A";"2010";5447;NA;NA
"V11210";"G";"NL34";"A";"2009";4634;NA;NA
"V11210";"G";"NL34";"A";"2008";4607;NA;NA
"V11210";"G";"UKC1";"A";"2013";6715;NA;NA
"V11210";"G";"UKC1";"A";"2012";6731;NA;NA
"V11210";"G";"UKC1";"A";"2011";6878;NA;NA
"V11210";"G";"UKC1";"A";"2010";6912;NA;NA
"V11210";"G";"UKC1";"A";"2009";6954;NA;NA
"V11210";"G";"UKC1";"A";"2008";7218;NA;NA
"V11210";"G";"UKE2";"A";"2013";7409;NA;NA
"V11210";"G";"UKE2";"A";"2012";7405;NA;NA
"V11210";"G";"UKE2";"A";"2011";7536;NA;NA
"V11210";"G";"UKE2";"A";"2010";7455;NA;NA
"V11210";"G";"UKE2";"A";"2009";7458;NA;NA
"V11210";"G";"UKE2";"A";"2008";7680;NA;NA
"V11210";"H";"AT32";"A";"2013";2031;NA;NA
"V11210";"H";"AT32";"A";"2012";1957;NA;NA
"V11210";"H";"AT32";"A";"2011";1924;NA;NA
"V11210";"H";"AT32";"A";"2010";1897;NA;NA
"V11210";"H";"AT32";"A";"2009";1913;NA;NA
"V11210";"H";"AT32";"A";"2008";1945;NA;NA
"V11210";"H";"AT33";"A";"2013";2286;NA;NA
"V11210";"H";"AT33";"A";"2012";2122;NA;NA
"V11210";"H";"AT33";"A";"2011";2103;NA;NA
"V11210";"H";"AT33";"A";"2010";2107;NA;NA
"V11210";"H";"AT33";"A";"2009";2106;NA;NA
"V11210";"H";"AT33";"A";"2008";2198;NA;NA
"V11210";"H";"BE22";"A";"2013";1058;NA;NA
"V11210";"H";"BE22";"A";"2012";992;NA;NA
"V11210";"H";"BE22";"A";"2011";1182;NA;NA
"V11210";"H";"BE22";"A";"2010";1281;NA;NA
"V11210";"H";"BE22";"A";"2009";1196;NA;NA
"V11210";"H";"BE22";"A";"2008";1107;NA;NA
"V11210";"H";"ES13";"A";"2013";2622;NA;NA
"V11210";"H";"ES13";"A";"2012";2682;NA;NA
"V11210";"H";"ES13";"A";"2011";2871;NA;NA
"V11210";"H";"ES13";"A";"2010";2760;NA;NA
"V11210";"H";"ES13";"A";"2009";2965;NA;NA
"V11210";"H";"ES13";"A";"2008";2913;NA;NA
"V11210";"H";"ITH1";"A";"2013";1450;NA;NA
"V11210";"H";"ITH1";"A";"2012";1459;NA;NA
"V11210";"H";"ITH1";"A";"2011";1624;NA;NA
"V11210";"H";"ITH1";"A";"2010";NA;"na";NA
"V11210";"H";"ITH1";"A";"2009";NA;"na";NA
"V11210";"H";"ITH1";"A";"2008";NA;"na";NA
"V11210";"H";"ITH2";"A";"2013";1181;NA;NA
"V11210";"H";"ITH2";"A";"2012";1200;NA;NA
"V11210";"H";"ITH2";"A";"2011";1476;NA;NA
"V11210";"H";"ITH2";"A";"2010";NA;"na";NA
"V11210";"H";"ITH2";"A";"2009";NA;"na";NA
"V11210";"H";"ITH2";"A";"2008";NA;"na";NA
"V11210";"H";"MT";"A";"2013";1308;NA;NA
"V11210";"H";"MT";"A";"2012";1401;NA;NA
"V11210";"H";"MT";"A";"2011";1517;NA;NA
"V11210";"H";"MT";"A";"2010";1769;NA;NA
"V11210";"H";"MT";"A";"2009";1658;NA;NA
